Genero,Tipo_Colegio,Score_Matematicas,Score_Lectura,Score_Ciencias,Score_Total,3_Comidas_por_día,Apoderado_con_estudios_superiores,Internet,estudio_diario,Eval_cont,Psi_evaluacion,uso_digital_escuela,asesoria_parental
Masculino,Publico,490.51090000000005,519.1394,544.749,518.1331,Si,Si,Si,Si,No,Si,Si,
Masculino,Publico,319.39989999999995,252.1609,317.94440000000003,296.50173333333333,No,Si,Si,Si,No,Si,Si,Si
Masculino,Publico,508.8066,522.6242,546.2075000000001,525.8794333333334,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,324.56390000000005,315.8145,353.3127,331.23036666666667,Si,No,No,Si,Si,Si,Si,Si
Masculino,Publico,341.7598,425.034,359.8009,375.5315666666666,Si,No,No,Si,Si,Si,No,Si
Masculino,Publico,433.3188,454.68409999999994,501.8251,463.276,Si,Si,Si,No,No,No,No,Si
Masculino,Publico,371.55830000000003,363.51570000000004,370.7472000000001,368.6070666666667,No,No,No,Si,No,No,Si,Si
Femenino,Publico,463.6829000000001,484.8807,436.3423000000001,461.6353000000001,Si,Si,Si,Si,No,Si,Si,Si
Femenino,Privado,261.3214,227.737,205.5274,231.5286,Si,Si,No,Si,Si,Si,Si,Si
Femenino,Publico,392.9415,426.9139,426.51030000000003,415.45523333333335,No,Si,No,Si,No,No,No,
Femenino,Publico,520.9039,508.5983,521.6464000000001,517.0495333333333,Si,Si,Si,Si,Si,No,Si,Si
Masculino,Privado,377.3981,376.32829999999996,386.6219,380.1161,Si,No,Si,Si,Si,No,No,Si
Femenino,Privado,395.89039999999994,414.1917,438.30819999999994,416.1301,Si,Si,Si,Si,No,Si,No,Si
Femenino,Publico,297.1332,238.5431,286.9465,274.2076,Si,No,Si,Si,Si,Si,Si,
Masculino,Privado,388.8579,370.1453,438.7204,399.2412,Si,No,No,No,Si,No,No,Si
Femenino,Privado,380.0161,451.7192,447.6638,426.4663666666667,Si,No,No,Si,Si,Si,Si,Si
Masculino,Publico,475.32759999999996,529.2809,468.3978,491.0021,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,438.1415999999999,389.5772,435.59669999999994,421.10516666666655,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,288.85450000000003,266.5981,306.4538,287.30213333333336,Si,Si,,,Si,No,No,No
Femenino,Publico,385.73159999999996,410.8391,439.02869999999996,411.86646666666667,Si,No,Si,No,Si,Si,Si,No
Masculino,Publico,436.07399999999996,427.5102,439.2611,434.28176666666667,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,368.87489999999997,355.4780999999999,381.33759999999995,368.5635333333333,Si,Si,Si,Si,No,No,Si,Si
Femenino,Publico,398.539,396.3913,413.52880000000005,402.8197,Si,No,Si,Si,No,Si,No,No
Masculino,Publico,361.2314,463.29389999999995,396.9589,407.1614,Si,No,No,Si,No,Si,No,Si
Femenino,Publico,282.9442,275.6272,337.02509999999995,298.5321666666667,Si,No,Si,Si,Si,No,No,No
Femenino,Privado,346.8812999999999,342.053,300.8725,329.93559999999997,99,No,Si,No,No,Si,Si,Si
Femenino,Publico,586.4947,525.2315,557.6367,556.4543,Si,No,Si,Si,No,Si,No,Si
Masculino,Publico,326.15760000000006,313.6944,359.2124,333.0214666666667,No,No,No,Si,Si,Si,Si,Si
Masculino,Publico,497.16360000000003,540.6442,497.0825000000001,511.6301,Si,No,Si,Si,No,Si,Si,Si
Femenino,Publico,431.2961,462.29160000000013,459.4746999999999,451.0208,Si,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,414.0009,417.0464,414.0105,415.0192666666667,Si,No,Si,No,No,Si,Si,Si
Femenino,Publico,240.7204,284.42850000000004,325.0947,283.41453333333334,Si,No,No,No,No,Si,Si,Si
Femenino,Publico,381.81519999999995,347.8726,434.2467,387.9781666666666,Si,No,No,Si,No,No,No,
Masculino,Privado,363.3924,417.5393,377.77049999999997,386.2340666666667,No,No,No,Si,Si,Si,Si,Si
Masculino,Privado,371.2433,426.9606,377.8546,392.01950000000005,No,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,372.76419999999996,478.9449000000001,405.09479999999996,418.9346333333333,Si,Si,Si,Si,No,Si,No,Si
Masculino,Privado,411.80969999999996,476.9408,405.55420000000004,431.4349,Si,No,Si,Si,Si,Si,Si,
Masculino,Publico,361.8843,396.69050000000004,403.1967000000001,387.25716666666676,Si,No,Si,Si,Si,Si,No,No
Masculino,Publico,347.0949,341.5233,324.0492,337.55580000000003,Si,No,Si,Si,Si,No,No,Si
Masculino,Publico,441.62929999999994,520.3261,483.4103999999999,481.7885999999999,Si,Si,Si,No,No,Si,Si,Si
Masculino,Publico,398.4667,493.6731000000001,415.98909999999995,436.0429666666667,Si,Si,Si,No,Si,Si,Si,No
Masculino,Publico,495.2285,503.0978999999999,528.8983000000001,509.0749,Si,,Si,No,No,Si,Si,Si
Masculino,Publico,373.03020000000004,457.8696999999999,402.91209999999995,411.2706666666666,Si,No,Si,Si,No,Si,Si,Si
Femenino,Privado,372.7901,399.4299,438.7607,403.66023333333334,Si,Si,Si,Si,Si,Si,Si,Si
Masculino,Publico,284.69629999999995,239.29489999999996,297.3019,273.7643666666666,No,Si,No,No,Si,Si,Si,No
Femenino,Publico,446.2703,452.75430000000006,484.54179999999997,461.18880000000007,Si,No,Si,Si,No,No,Si,Si
Femenino,Publico,477.64270000000005,479.01840000000004,446.1292,467.5967666666667,Si,No,Si,Si,No,Si,No,Si
Femenino,Publico,367.34569999999997,377.4713,376.9723,373.92976666666664,Si,Si,Si,Si,No,No,No,No
Femenino,Publico,373.90549999999996,418.44939999999997,433.9759,408.7769333333333,No,No,Si,No,No,No,Si,Si
Masculino,Privado,407.0874,323.675,376.9644,369.2422666666667,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,362.3786,415.21099999999996,369.9939999999999,382.5278666666666,No,No,No,Si,No,No,No,No
Femenino,Publico,378.8792,370.8793,381.2659,377.0081333333333,Si,No,Si,Si,Si,Si,Si,No
Femenino,Publico,442.53309999999993,472.88730000000004,513.3095,476.2432999999999,Si,No,Si,Si,Si,Si,Si,
Femenino,Publico,345.9826,411.9327,395.9851,384.63346666666666,Si,No,No,Si,No,No,No,
Masculino,Privado,436.88230000000004,457.044,427.9000000000001,440.6087666666667,Si,Si,Si,No,Si,Si,No,Si
Masculino,Privado,402.32969999999995,424.8822,407.3209,411.5109333333333,Si,Si,Si,No,Si,Si,No,Si
Femenino,Publico,378.6522,362.1849000000001,422.4521000000001,387.7630666666667,No,No,Si,Si,Si,Si,Si,Si
Femenino,Privado,362.4536,407.32,369.6384999999999,379.80403333333334,Si,No,Si,Si,Si,No,No,Si
Masculino,Privado,383.6015,389.9656,403.6073,392.39146666666664,Si,No,No,Si,Si,Si,Si,Si
Masculino,Publico,259.7151,218.3422,264.021,247.35943333333333,No,No,No,Si,No,No,Si,
Masculino,Publico,297.77380000000005,341.0752,364.5613,334.4701,No,No,No,Si,Si,Si,No,Si
Femenino,Privado,417.40520000000004,459.12579999999997,447.36080000000004,441.29726666666664,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,490.67209999999994,517.8557999999999,496.2884,501.60543333333334,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,388.7817,354.822,355.8073,366.4703333333334,Si,,No,Si,No,Si,Si,
Masculino,Privado,400.63309999999996,453.80609999999996,377.1989,410.5460333333333,Si,Si,Si,Si,Si,Si,No,Si
Femenino,Privado,367.1723,295.89,345.88160000000005,336.31463333333335,Si,No,No,Si,No,Si,Si,Si
Femenino,Privado,555.6454,568.0240000000001,563.2607,562.3100333333334,Si,Si,Si,Si,Si,No,Si,
Masculino,Privado,420.35639999999995,374.29049999999995,412.4396,402.3621666666666,No,Si,Si,Si,No,Si,Si,Si
Masculino,Publico,332.34880000000004,321.4324,336.6708,330.15066666666667,Si,No,Si,No,Si,Si,Si,No
Masculino,Privado,383.9524,393.72159999999997,451.3714999999999,409.6818333333333,Si,No,Si,Si,Si,No,No,Si
Masculino,Privado,336.4365999999999,335.2407,356.25290000000007,342.64339999999993,No,No,Si,Si,Si,No,No,No
Femenino,Publico,301.2616,306.41279999999995,325.33660000000003,311.0036666666667,Si,No,No,Si,No,Si,Si,Si
Masculino,Publico,384.8429,455.83770000000004,450.48699999999997,430.3892,No,No,No,Si,Si,No,Si,Si
Masculino,Privado,418.36019999999996,385.95829999999995,411.053,405.12383333333327,Si,,Si,,No,Si,Si,Si
Femenino,Publico,347.63989999999995,398.2087,389.0118,378.2868,Si,No,No,Si,No,Si,Si,
Masculino,Publico,365.28690000000006,366.17869999999994,373.15850000000006,368.20803333333333,Si,No,No,Si,Si,No,Si,Si
Masculino,Publico,409.07759999999996,485.5735000000001,351.9065,415.5192,Si,Si,Si,Si,No,No,No,No
Masculino,Publico,383.45490000000007,429.0032,421.7888,411.41563333333335,No,No,No,Si,Si,Si,No,No
Femenino,Publico,270.685,209.1118,265.3738,248.39019999999996,No,No,No,Si,No,Si,No,Si
Femenino,Publico,383.86969999999997,484.8169,421.93059999999997,430.2057333333333,Si,No,Si,No,No,No,No,Si
Masculino,Privado,430.74659999999994,489.5251,439.3672,453.21296666666666,99,No,Si,Si,Si,Si,Si,Si
Femenino,Publico,556.8281,598.0849000000001,565.6048999999999,573.5059666666666,Si,Si,Si,No,Si,No,Si,Si
Femenino,Privado,418.6388,447.5398,405.88050000000004,424.0197,Si,No,Si,No,No,Si,No,Si
Femenino,Publico,455.0041000000001,525.6647,457.63179999999994,479.43353333333334,No,No,Si,No,Si,No,No,Si
Femenino,Publico,414.9567,447.0253000000001,411.1849,424.3889666666667,Si,Si,Si,Si,Si,Si,Si,Si
Masculino,Privado,346.376,360.5525,394.8765,367.2683333333334,Si,No,Si,Si,No,Si,No,Si
Femenino,Publico,423.2447,395.8843,415.3713000000001,411.50010000000003,Si,No,Si,Si,No,Si,No,Si
Femenino,Publico,503.7781,519.6798,443.45709999999997,488.97166666666664,Si,No,Si,Si,Si,No,No,Si
Femenino,Publico,452.2168,446.0602,498.11080000000004,465.4626,Si,Si,Si,Si,Si,No,Si,Si
Femenino,Publico,410.96750000000003,477.7423,468.4623,452.3907000000001,Si,No,Si,Si,No,Si,Si,Si
Masculino,Privado,253.49120000000002,300.9052,295.50890000000004,283.30176666666665,No,No,Si,No,Si,Si,Si,No
Femenino,Publico,334.1517,357.351,366.1196,352.5407666666667,Si,Si,Si,Si,No,Si,Si,
Masculino,Publico,379.4592,481.0481,417.0195,425.8422666666667,Si,Si,Si,Si,Si,No,Si,Si
Femenino,Publico,360.4338,392.31949999999995,363.078,371.9437666666666,Si,Si,Si,Si,Si,Si,Si,No
Masculino,Publico,325.082,377.289,289.26169999999996,330.5442333333333,Si,Si,Si,No,Si,No,No,No
Masculino,Publico,581.3654,559.3808000000001,643.7664,594.8375333333333,Si,Si,Si,Si,Si,No,Si,Si
Femenino,Publico,430.72709999999995,353.95269999999994,364.3777999999999,383.01919999999996,No,No,No,No,Si,Si,No,No
Masculino,Privado,358.1446000000001,381.6374,399.5437,379.77523333333335,Si,No,Si,Si,Si,Si,Si,No
Masculino,Publico,454.9084,549.9543,533.558,512.8068999999999,Si,Si,Si,Si,Si,Si,Si,Si
Femenino,Publico,358.1722,361.01240000000007,391.7362999999999,370.3069666666667,Si,No,Si,Si,Si,Si,Si,Si
Masculino,Publico,400.46380000000005,394.3284,450.6028,415.13166666666666,Si,Si,Si,Si,Si,Si,Si,No
Femenino,Publico,443.90770000000003,486.42590000000007,488.79350000000005,473.04236666666674,No,Si,Si,Si,Si,Si,Si,
Femenino,Publico,504.29949999999997,503.7577,504.62299999999993,504.22673333333324,No,Si,Si,No,No,Si,Si,Si
Femenino,Publico,368.26159999999993,352.71359999999993,387.8592,369.61146666666656,Si,Si,Si,No,No,Si,Si,Si
Masculino,Publico,524.6599,545.6566,578.8394000000001,549.7186333333333,Si,No,Si,Si,No,No,Si,No
Femenino,Publico,292.8374,265.64369999999997,310.19620000000003,289.5591,No,No,Si,,No,Si,Si,Si
Masculino,Publico,318.6743,289.305,290.3805,299.45326666666665,Si,No,Si,Si,No,Si,No,Si
Femenino,Privado,484.39849999999996,508.5021999999999,489.5267,494.1424666666667,Si,Si,Si,Si,Si,Si,No,Si
Femenino,Publico,398.2879,494.3526,461.4306,451.3570333333334,Si,No,Si,Si,Si,Si,No,Si
Femenino,Publico,356.9584,414.7994,329.5253000000001,367.0943666666667,Si,No,Si,Si,No,No,No,Si
Femenino,Publico,458.2701,478.1088000000001,474.2635,470.2141333333334,Si,Si,Si,Si,Si,No,Si,Si
Femenino,Privado,324.759,350.7948,331.2905,335.61476666666664,No,No,No,No,No,Si,Si,Si
Masculino,Publico,476.97220000000004,483.7777,530.2958,497.01523333333336,Si,No,Si,Si,No,Si,Si,Si
Masculino,Privado,385.2468,362.29900000000004,409.06989999999996,385.53856666666667,Si,No,No,No,No,Si,No,Si
Femenino,Privado,413.53779999999995,390.015,403.72180000000003,402.4248666666667,Si,No,Si,Si,Si,Si,Si,
Masculino,Publico,317.9246,399.3032,387.83810000000005,368.3553,Si,No,No,No,Si,No,Si,Si
